id,theme,category,start_m,investments_m,crowdfunding_m,team_idx,tech_idx,comp_idx,social_idx,demand_idx
39,Entertainment,FinTech,471835,1886675,0,5.2,6.6,2.9,8.8,3.8
40,Real Estate,Logistics,715203,0,4454258,7.2,6.0,2.8,9.0,4.8
41,Transportation,Medical,896596,8546171,3163459,9.3,7.7,4.3,3.2,4.8
42,Finance,E-commerce,735943,1404905,270298,3.9,7.1,3.8,3.4,2.0
43,Education,AI,142883,7137441,1288539,5.3,9.2,6.7,5.3,3.9
44,Healthcare,Logistics,425533,0,4958392,5.3,2.6,1.3,5.7,8.2
45,Real Estate,Media,816683,7172511,4444249,2.0,7.0,6.2,0.8,0.2
46,Finance,GreenTech,733000,5271135,0,9.4,3.6,6.7,0.3,0.9
47,Education,EdTech,645037,2179801,1599482,2.3,2.4,9.9,3.4,7.5
48,Education,Medical,633033,9553201,4606234,9.2,4.9,3.1,9.4,3.3
49,Healthcare,Medical,176891,6717740,4029418,2.4,8.7,6.0,4.2,2.3
50,Entertainment,FinTech,385663,7901825,787476,9.3,9.9,6.4,3.0,4.3
51,Entertainment,Media,629096,6890642,0,9.9,9.2,1.1,7.8,9.1
52,Entertainment,Media,731600,2721811,0,1.5,3.6,1.6,2.5,6.7
53,Environment,E-commerce,600258,8010453,2969977,6.8,9.8,3.9,5.5,8.3
54,Real Estate,EdTech,943689,0,2131841,4.1,6.4,8.1,7.7,4.3
55,Technology,Logistics,266900,3169314,4504236,2.4,7.0,7.7,6.3,9.8
56,Transportation,GreenTech,153763,0,1996156,2.2,5.3,6.6,10.0,3.9
57,Finance,FinTech,169064,4528573,1752646,3.0,3.3,6.3,8.2,8.9
58,Real Estate,EdTech,181312,8364346,1525180,8.5,6.9,9.5,4.1,9.3
59,Finance,FinTech,761890,7820044,2077839,8.3,4.5,4.8,0.4,0.9
60,Environment,Medical,508240,7819781,2642098,8.9,6.1,1.1,5.1,7.7
61,Transportation,Logistics,235167,0,4487792,7.7,4.6,6.9,0.9,1.0
62,Retail,Media,351077,4427967,4883465,2.6,2.0,4.9,9.9,3.9
63,Retail,E-commerce,743264,8977824,1875439,4.2,8.4,4.7,6.9,6.6
64,Technology,EdTech,493776,7799908,1534998,7.4,8.0,6.3,7.3,2.3
65,Healthcare,GreenTech,534055,622194,3421649,1.6,9.6,1.8,2.0,3.9
66,Environment,GreenTech,461123,5605613,0,2.9,7.6,2.4,7.8,4.7
67,Retail,GreenTech,402586,9569978,3974853,3.8,2.2,6.5,5.9,2.3
68,Transportation,E-commerce,811732,8590381,719948,2.4,3.1,6.3,6.3,1.0
69,Transportation,Medical,970269,8146508,3309101,7.9,1.2,9.9,7.8,4.1
70,Environment,Media,810706,946030,4226161,7.7,6.6,1.0,3.7,6.4
71,Retail,Media,913324,5834559,3824735,6.7,4.1,5.9,1.0,6.3
72,Finance,EdTech,885363,4665433,1855272,5.1,8.8,6.6,0.1,0.1
73,Real Estate,EdTech,968283,7749634,369728,6.1,6.8,7.9,7.2,1.6
74,Education,Property,131908,6347799,3089874,3.9,3.9,8.4,0.7,0.5
75,Education,Medical,604415,5919267,486196,6.3,9.6,7.2,2.2,6.6
76,Entertainment,Media,472328,0,4560653,7.6,6.3,4.8,8.7,5.0
77,Education,AI,888554,0,3014125,9.8,9.5,2.6,4.6,2.7
78,Technology,FinTech,873012,2732955,444268,1.6,4.8,6.6,5.1,7.6
79,Healthcare,FinTech,571809,5943301,4823062,5.2,1.2,8.4,6.2,6.3
80,Real Estate,E-commerce,111111,0,2717547,7.2,6.6,2.6,3.3,7.6
81,Environment,EdTech,850102,5932195,0,7.2,6.4,6.8,7.0,9.3
82,Education,Media,505428,7407858,2806756,3.9,8.0,4.9,8.9,8.6
83,Entertainment,E-commerce,140557,7782951,1984913,3.9,5.3,1.4,1.3,4.9
84,Education,AI,809721,6895676,0,5.0,8.2,8.8,7.1,3.8
85,Education,E-commerce,165626,9894340,4058872,2.7,5.9,5.5,7.2,4.9
86,Education,Logistics,689868,8591972,2777157,6.6,6.0,9.2,9.9,5.2
87,Transportation,FinTech,258534,0,4481518,3.5,4.2,4.2,3.9,4.1
88,Retail,Property,790790,8505334,890745,3.4,7.3,2.4,0.3,0.9
89,Transportation,EdTech,213986,3445096,0,9.7,9.5,8.7,0.9,0.4
90,Education,E-commerce,979173,2713480,3931628,8.5,6.7,4.2,3.4,4.4
91,Environment,EdTech,666844,8490595,4402057,5.5,7.1,5.2,5.2,7.4
92,Entertainment,AI,376198,0,2915387,5.2,8.2,8.0,4.3,9.0
93,Entertainment,EdTech,254180,0,672156,7.8,5.5,3.7,6.9,8.9
94,Environment,AI,993698,1691298,871815,8.9,7.3,8.8,6.1,7.6
95,Transportation,Property,839449,0,871633,9.0,4.1,6.5,8.8,5.6
96,Environment,Media,575334,820509,2424423,1.0,7.8,3.8,6.6,4.3
97,Retail,Medical,490305,2767693,3541714,5.4,1.9,4.9,9.8,1.7
98,Retail,E-commerce,532463,4995965,4875887,7.3,4.7,5.4,0.1,0.6
99,Education,FinTech,767940,7882141,3766760,7.7,9.6,4.6,4.4,7.4
100,Entertainment,EdTech,955708,6563115,3720485,8.0,3.6,8.7,2.0,4.7
101,Real Estate,GreenTech,412959,6292809,0,1.1,2.4,1.5,7.0,5.0
102,Environment,AI,248015,3540723,550103,9.5,1.0,3.3,6.2,2.0
103,Real Estate,GreenTech,312205,2791610,1030770,7.0,2.7,4.5,0.8,0.3
104,Education,EdTech,193573,1920319,288495,5.1,7.9,6.6,6.1,3.5
105,Real Estate,FinTech,847165,1896112,1852017,5.7,5.9,5.0,8.4,1.9
106,Real Estate,E-commerce,522907,5989834,4183936,5.5,5.8,1.4,4.5,8.5
107,Real Estate,AI,231632,6816251,548316,2.8,5.6,3.2,1.3,5.1
108,Entertainment,E-commerce,286374,5485227,4518547,1.8,2.8,1.5,6.2,6.3
109,Healthcare,AI,743077,0,1876447,4.5,8.8,4.3,4.5,8.8
110,Retail,AI,850920,1501393,988802,3.6,4.5,1.2,10.0,3.4
111,Education,Media,791074,8497736,0,7.9,5.2,6.6,7.0,9.8
112,Environment,E-commerce,408354,8018626,1236336,3.3,9.4,1.2,7.3,8.0
113,Technology,Medical,649389,8669258,1495507,8.5,3.0,6.0,9.9,6.6
114,Technology,Property,453355,8965379,2983869,2.2,4.9,8.1,5.3,1.3
115,Entertainment,AI,823221,8821883,4207928,2.2,3.4,3.5,9.7,6.1
116,Environment,Logistics,863330,2496398,2521674,8.3,9.7,2.9,6.7,3.6
117,Finance,EdTech,497884,3598829,4993128,9.1,8.6,4.3,4.5,4.0
118,Environment,Medical,727694,1761674,4174520,1.8,7.7,9.6,3.0,5.7
119,Transportation,Media,433243,6364770,589790,8.9,1.6,9.6,7.8,2.9
120,Education,GreenTech,798814,5145118,4776694,7.6,5.9,5.5,9.6,4.7
121,Transportation,EdTech,646974,0,1497340,2.2,1.5,2.9,7.7,9.5
122,Technology,Logistics,826484,1204953,0,4.9,9.2,9.1,0.8,0.3
123,Transportation,AI,285066,9746091,4761035,1.7,2.8,1.6,8.2,8.2
124,Transportation,GreenTech,943956,0,3850066,5.1,1.4,8.9,0.7,0.4
125,Education,FinTech,147144,5469728,2802368,5.0,4.4,6.1,6.4,1.7
126,Retail,Logistics,739284,6322587,1453090,2.8,2.2,4.9,5.9,2.0
127,Healthcare,E-commerce,663135,2733854,2729851,1.5,5.4,4.0,4.9,4.0
128,Healthcare,AI,990254,5509113,662605,4.2,4.2,1.8,7.1,3.3
129,Healthcare,E-commerce,120758,4556495,980212,1.4,1.4,2.2,7.0,3.5
130,Environment,Logistics,511579,2293370,936965,3.8,8.5,5.4,8.5,9.3
131,Real Estate,GreenTech,890026,0,1237408,5.9,9.4,5.5,6.0,4.6
132,Education,AI,175897,4198137,793778,3.3,4.0,6.3,2.2,7.2
133,Healthcare,Medical,821647,0,4157290,4.8,3.2,4.4,8.6,7.3
134,Environment,Property,195686,7353621,4287767,6.2,1.6,8.0,9.2,6.6
135,Education,FinTech,755493,8440261,2126508,6.0,3.0,1.3,5.4,4.3
136,Technology,Media,341479,9122883,4667029,5.1,4.2,9.8,6.9,4.2
137,Education,FinTech,886383,3906272,1338906,7.9,6.5,1.1,4.1,8.1
138,Real Estate,Medical,299238,0,2655145,5.9,4.4,4.5,3.6,6.4
139,Transportation,E-commerce,221528,0,3250341,9.1,7.9,5.8,6.7,10.0
140,Education,EdTech,639608,7685773,1781781,6.8,7.5,6.3,9.1,1.7
141,Retail,Media,177116,1802900,4267398,1.5,5.3,6.5,5.5,1.7
142,Retail,GreenTech,854856,0,1000693,2.3,3.8,9.4,8.2,2.6
143,Technology,Property,416344,0,0,3.9,5.1,6.5,5.4,2.5
144,Entertainment,GreenTech,704114,9403237,3016664,3.9,4.0,7.9,5.1,3.1
145,Education,GreenTech,460846,1466799,246189,6.5,8.0,4.3,9.1,4.2
146,Real Estate,GreenTech,143437,5865653,0,4.9,6.3,9.9,3.0,9.6
147,Healthcare,GreenTech,112696,9422680,3202066,3.3,4.2,4.5,6.6,3.5
148,Technology,AI,565196,5302775,1381069,4.5,8.1,5.9,5.6,3.0
149,Environment,E-commerce,454305,2482145,2707652,5.5,7.1,2.8,0.7,0.1
150,Entertainment,GreenTech,789051,1991190,2641368,6.2,2.3,4.3,3.5,1.7
151,Environment,GreenTech,356370,2455762,0,7.1,9.7,1.6,8.8,5.1
152,Healthcare,Medical,788791,6361421,2862658,1.4,2.7,2.7,5.2,9.9
153,Technology,GreenTech,643491,1039700,1477511,2.2,6.2,3.4,1.7,2.8
154,Healthcare,Property,594826,5069386,4635347,7.5,2.6,1.2,0.8,0.5
155,Real Estate,Logistics,901439,0,2652943,3.7,3.2,4.7,0.7,0.7
156,Healthcare,GreenTech,507715,2463416,0,4.4,3.5,1.8,6.9,9.3
157,Entertainment,AI,427982,7170626,4879741,8.1,3.3,6.3,5.1,5.1
158,Transportation,E-commerce,131891,0,4682804,4.3,4.8,2.7,2.8,9.3
159,Finance,Property,571058,4320763,1395233,7.8,9.4,7.1,5.6,5.2
160,Entertainment,Property,189884,0,4720397,9.7,7.3,9.2,2.1,8.3
161,Entertainment,E-commerce,222329,8540768,123590,6.8,9.6,3.2,8.7,8.8
162,Transportation,GreenTech,725597,0,4009357,5.2,5.1,1.8,8.1,10.0
163,Education,Logistics,181021,0,715502,7.1,5.2,7.5,3.8,4.3
164,Technology,Property,992602,4270156,4431333,1.4,7.5,9.6,5.4,9.1
165,Environment,Logistics,393894,7823073,644837,6.1,7.4,4.8,5.7,9.5
166,Education,FinTech,996550,4208018,0,10.0,7.9,3.2,0.2,1.0
167,Technology,AI,482308,0,2964557,3.0,8.8,4.4,1.6,8.0
168,Transportation,EdTech,355735,3052230,4519107,6.4,8.9,5.2,5.6,7.3
169,Finance,EdTech,701229,7773292,4503819,2.4,8.5,7.2,0.5,0.3
170,Entertainment,GreenTech,443259,4909087,4180651,3.6,5.3,6.6,9.4,1.1
171,Healthcare,Medical,534972,937980,2928682,5.0,1.7,7.9,10.0,3.2
172,Finance,AI,461074,3990197,1556138,1.3,9.9,7.7,5.5,1.1
173,Real Estate,GreenTech,272777,7733090,2591636,6.8,7.9,7.1,9.0,6.8
174,Healthcare,Property,580208,1889247,341737,5.3,3.4,6.8,8.0,1.2
175,Entertainment,Logistics,755181,9587185,1033330,6.9,5.8,8.6,7.8,7.5
176,Technology,Logistics,578571,0,4685984,3.2,5.8,1.9,1.7,5.6
177,Finance,GreenTech,786127,5541759,3817249,6.9,9.4,1.4,1.9,6.4
178,Retail,Logistics,607892,7268968,4843877,7.5,5.5,6.8,7.2,1.2
179,Retail,Logistics,454045,1285067,1502757,6.0,7.8,5.3,1.5,1.2
180,Real Estate,Property,138412,6282493,2700342,3.1,1.2,5.5,2.5,8.0
181,Healthcare,E-commerce,538688,4116747,3486536,4.5,6.7,1.5,2.1,3.6
182,Education,Property,773858,4210118,2278522,7.2,8.3,4.7,9.3,9.1
183,Healthcare,EdTech,798043,4008744,4237045,8.8,5.2,3.3,9.0,2.4
184,Education,Medical,756658,9377473,3248446,1.1,9.5,1.0,4.3,8.1
185,Environment,Media,363143,4252787,2355415,4.2,8.8,3.5,1.6,6.4
186,Education,E-commerce,510818,4205406,1934307,7.7,6.4,7.5,5.1,3.6
187,Transportation,Logistics,214192,5422034,0,9.5,3.4,5.2,4.8,9.5
188,Environment,EdTech,726346,2636375,2591129,1.9,3.3,1.3,8.5,2.1
189,Environment,Medical,659372,0,1468386,9.0,4.1,4.6,5.7,1.2
190,Finance,Logistics,738077,2208302,1028619,7.4,3.7,2.0,2.3,5.9
191,Finance,AI,484729,8648919,1961955,5.2,1.1,9.6,5.2,7.7
192,Finance,GreenTech,680023,9569948,872517,5.4,3.1,2.3,0.1,0.9
193,Environment,Medical,331035,3107305,285628,7.0,9.7,3.2,9.4,8.2
194,Finance,Property,826081,5636728,3396763,2.3,5.9,9.3,8.8,1.6
195,Education,AI,596587,4867204,2142601,1.2,8.7,4.5,3.7,2.7
196,Environment,E-commerce,550786,0,3275869,2.4,7.2,1.1,5.5,1.9
197,Real Estate,Property,155662,0,4643742,2.8,8.6,2.7,1.1,8.8
198,Real Estate,AI,694682,6192132,3367856,5.9,6.4,3.8,3.4,3.1
199,Retail,Logistics,519913,9216889,2131148,9.3,9.0,6.6,4.0,7.3
200,Environment,FinTech,182105,7296019,2265057,4.3,7.1,3.9,5.9,3.9
201,Technology,Media,237211,0,0,3.2,6.8,4.9,8.5,7.8
202,Entertainment,Logistics,826732,5787706,2504744,6.3,7.0,10.0,5.2,1.2
203,Technology,Property,539150,0,1623138,2.0,4.4,1.0,3.4,8.7
204,Transportation,EdTech,404148,0,3430892,2.0,8.7,4.3,3.4,2.7
205,Education,Property,831653,9731415,810514,3.0,3.2,5.8,2.3,4.2
206,Finance,Medical,839939,4521060,0,4.0,3.9,1.6,8.1,8.7
207,Environment,Medical,861965,7069198,0,4.4,1.8,2.0,5.6,1.9
208,Real Estate,E-commerce,925055,9627929,2329839,2.0,4.8,7.8,2.5,2.6
209,Transportation,Media,246181,9866389,841424,4.7,1.7,9.0,5.5,7.0
210,Entertainment,FinTech,107746,6323272,429114,6.9,2.4,1.0,7.7,1.4
211,Real Estate,EdTech,943140,6761316,1307408,1.4,6.9,7.0,9.3,3.3
212,Technology,GreenTech,475571,4117966,4544645,4.1,5.0,2.7,1.2,7.0
213,Education,Property,784772,4436015,659440,1.9,9.2,6.2,0.6,0.9
214,Technology,EdTech,962039,3541726,4262611,9.5,1.6,7.3,8.8,6.0
215,Education,E-commerce,524706,3864134,0,1.1,4.0,4.9,9.0,1.2
216,Real Estate,E-commerce,442005,9109299,2461688,5.8,4.7,2.1,4.9,7.2
217,Entertainment,Property,631357,1652319,1132050,4.3,9.9,5.1,8.6,5.2
218,Healthcare,Media,779724,643948,2412227,2.9,5.4,7.3,5.0,1.8
219,Finance,FinTech,933155,7748207,2980232,3.7,9.2,4.8,0.2,0.1
220,Technology,Logistics,607234,0,0,5.8,4.3,5.9,5.3,2.8
221,Healthcare,Medical,527121,4971844,0,5.0,7.9,5.8,9.2,3.9
222,Technology,GreenTech,225193,4081686,1581131,7.3,3.3,9.9,5.7,5.6
223,Finance,E-commerce,973087,4986794,434753,8.4,7.0,9.4,1.4,7.9
224,Healthcare,Property,105367,1950647,2549885,9.0,9.9,3.3,8.6,2.8
225,Education,Media,542157,6853318,4712838,4.4,1.2,6.1,2.7,5.5
226,Technology,FinTech,537022,0,235254,6.6,2.3,1.7,0.0,0.6
227,Environment,E-commerce,575005,1682867,4459290,3.8,8.3,9.6,8.6,5.7
228,Environment,Medical,170317,5234153,4841038,8.4,4.4,10.0,7.2,5.1
229,Technology,EdTech,903070,5906958,3707859,2.2,9.3,9.6,2.5,5.5
230,Technology,FinTech,417901,8303604,4074214,9.4,8.2,3.0,7.9,7.9
231,Retail,GreenTech,688721,5500401,4444872,5.9,2.1,6.8,0.6,1.0
232,Healthcare,Medical,744509,8792840,315205,2.3,7.9,7.3,4.1,6.6
233,Transportation,Logistics,502178,9499526,445641,6.5,5.2,3.7,9.8,9.7
234,Transportation,Medical,372034,9959452,4631782,7.1,9.6,4.0,0.3,0.8
235,Finance,Media,859898,0,202010,5.8,2.4,5.8,3.2,6.0
236,Retail,E-commerce,456432,3211040,3023732,3.0,9.6,9.2,0.5,0.8
237,Real Estate,Logistics,611117,9758399,3629143,9.0,8.7,6.7,9.4,1.7
238,Environment,FinTech,520045,7285765,655470,4.9,1.1,4.2,7.9,5.7
239,Healthcare,GreenTech,127081,0,859904,3.1,7.5,7.7,5.7,5.7
240,Transportation,AI,319898,5439184,218486,2.4,9.1,2.8,4.0,4.7
241,Healthcare,FinTech,769292,3519955,1026664,1.5,8.3,6.5,8.4,5.4
242,Environment,EdTech,161121,1143399,4119007,1.8,9.8,7.5,1.4,4.9
243,Finance,Media,631981,7827995,3099038,4.9,9.4,5.7,9.5,5.1
244,Transportation,E-commerce,971131,5246610,4964898,6.4,4.6,4.5,3.3,2.4
245,Transportation,FinTech,954190,761088,556807,1.7,4.7,3.4,5.7,4.6
246,Healthcare,EdTech,471578,3151576,640669,5.1,2.3,9.8,0.1,0.3
247,Technology,GreenTech,382643,6838604,3638516,4.7,5.3,5.3,4.2,6.2
248,Education,Logistics,933390,604078,2667318,3.9,6.1,1.3,2.0,3.6
249,Transportation,FinTech,558943,9197219,3401186,9.2,1.6,3.7,5.1,4.2
250,Entertainment,Media,938159,0,449681,5.2,7.1,1.8,5.9,8.4
251,Education,EdTech,312010,9955782,228701,8.8,8.0,1.2,7.4,5.5
252,Education,Property,649396,5147027,0,8.3,2.3,9.0,8.9,7.4
253,Education,Logistics,768224,1889056,3679127,5.8,8.7,7.4,9.2,8.3
254,Education,Property,723986,0,3965449,9.7,6.2,2.9,1.5,2.3
255,Healthcare,E-commerce,517036,7894659,0,4.6,5.0,2.0,9.5,1.9
256,Retail,FinTech,923682,5738709,1872631,7.9,9.4,3.5,7.7,5.2
257,Education,AI,173185,9472035,982859,3.7,8.9,7.0,3.5,9.5
258,Real Estate,Medical,700576,9374959,479210,6.6,7.9,3.3,1.1,6.1
259,Real Estate,FinTech,854124,7398490,3833568,4.7,2.5,9.3,9.8,1.9
260,Education,GreenTech,183093,0,1773756,8.2,4.9,4.5,4.8,9.1
261,Transportation,Media,254449,8335097,1108599,8.5,7.6,3.3,5.5,9.3
262,Technology,Logistics,824617,0,2002578,6.4,2.1,9.0,0.3,0.6
263,Education,Media,578187,541593,0,5.3,1.8,8.2,2.9,8.1
264,Transportation,Medical,183544,4877157,4641013,2.1,1.5,6.1,2.8,3.8
265,Finance,E-commerce,108374,5154511,4594094,6.5,9.5,8.6,6.6,7.8
266,Retail,Logistics,849013,4909916,0,5.4,9.2,7.7,1.1,6.0
267,Education,Property,290407,9418543,3276363,5.3,5.2,6.9,2.4,1.3
268,Transportation,Medical,823671,0,4210472,8.1,4.4,9.6,5.4,1.2
269,Transportation,Property,866999,6623035,3555977,9.9,1.1,4.7,9.5,5.0
270,Real Estate,Logistics,755776,0,2568369,6.3,7.8,3.8,3.5,7.9
271,Real Estate,AI,533467,2849944,3786237,3.8,3.5,3.1,2.3,8.9
272,Environment,Media,720445,3430647,4684775,4.5,4.4,8.4,9.4,3.6
273,Education,Medical,551677,8986726,4163620,8.4,5.7,8.2,2.0,7.3
274,Entertainment,FinTech,682778,8052099,3847850,4.9,5.3,6.2,1.3,9.9
275,Technology,Media,302817,8959847,0,2.5,5.7,6.7,6.1,5.6
276,Healthcare,AI,740155,1539973,910786,8.5,7.5,6.6,2.1,2.6
277,Technology,GreenTech,333956,8124532,2821155,1.0,9.8,7.5,6.2,6.3
278,Environment,EdTech,194762,9610193,4828872,4.0,7.7,9.7,0.8,0.9
279,Transportation,Property,712747,0,0,3.5,1.1,5.8,0.5,0.0
280,Retail,E-commerce,639093,1278796,3002342,7.4,1.4,6.3,3.5,2.0
281,Environment,Medical,607680,8590893,1022653,3.9,8.9,7.4,6.1,6.2
282,Environment,Property,592245,519708,255697,7.4,4.9,4.1,4.6,4.9
283,Entertainment,AI,852635,5097351,4622513,5.1,5.1,3.6,0.2,0.2
284,Retail,E-commerce,816023,3351892,3904283,7.8,3.6,6.9,0.3,0.0
285,Entertainment,GreenTech,899268,4385858,1762322,2.5,2.5,7.9,4.3,7.3
286,Finance,Media,147213,0,620012,1.8,4.7,5.4,9.9,8.9
287,Finance,AI,475341,6557269,0,9.0,9.1,8.4,7.0,5.4
288,Retail,Media,527911,8614804,1985877,9.1,1.9,3.7,3.3,9.8
289,Real Estate,Logistics,620173,8463659,0,7.5,3.1,9.8,3.9,2.7
290,Entertainment,Property,708259,8189213,3998025,5.4,7.8,7.3,3.9,1.7
291,Finance,E-commerce,904391,0,3691443,8.8,1.8,2.1,1.1,6.7
292,Entertainment,Property,921266,9868518,2084243,7.9,7.9,4.3,3.8,1.2
293,Finance,Property,470373,1345808,2449341,4.8,3.0,4.3,1.4,3.6
294,Environment,FinTech,618411,3535857,4679771,1.4,3.4,2.7,5.5,1.9
295,Education,FinTech,651412,0,1013380,4.3,9.9,8.3,3.0,7.9
296,Education,EdTech,699877,0,2573988,2.2,7.0,6.0,7.3,1.2
297,Entertainment,Logistics,450780,741081,2556947,9.6,1.7,1.3,8.3,8.7
298,Environment,EdTech,157057,2195787,0,9.9,1.2,4.2,3.2,6.4
299,Environment,GreenTech,847285,7688533,527359,4.6,3.6,7.5,3.7,9.3
300,Retail,E-commerce,497271,5487860,147924,7.5,7.4,3.9,4.4,4.0
301,Environment,AI,653798,8603651,533947,10.0,2.2,6.7,6.2,4.4
302,Real Estate,AI,893223,0,1859672,9.7,5.8,5.6,2.5,6.6
303,Technology,Logistics,209826,1340808,1681803,9.5,5.8,8.3,4.5,8.9
304,Education,EdTech,120252,7069628,0,7.2,5.0,7.6,6.7,5.0
305,Transportation,Medical,558286,0,0,3.2,2.9,2.4,1.0,0.1
306,Transportation,Media,246125,0,0,7.6,7.9,5.1,0.6,0.3
307,Retail,Logistics,428942,5394187,3935661,6.9,5.7,5.5,8.8,7.1
308,Finance,Property,942662,1008633,1412329,7.4,8.0,5.8,10.0,1.1
309,Technology,GreenTech,327235,0,2311467,5.8,5.5,8.1,8.6,1.4
310,Entertainment,Property,568034,1029395,4843296,3.7,7.2,1.7,4.8,9.6
311,Finance,GreenTech,209448,574727,3049929,3.0,3.3,6.9,5.1,7.7
312,Education,Media,697058,6234581,0,6.1,8.0,6.1,4.6,4.4
313,Healthcare,AI,419379,9831776,0,3.4,7.9,5.2,4.5,4.1
314,Education,AI,781819,0,1987364,4.4,5.5,9.7,1.3,3.4
315,Entertainment,EdTech,763606,6893417,1988434,1.5,4.3,3.5,9.5,7.8
316,Entertainment,E-commerce,379025,9862308,3968147,1.6,7.4,8.4,2.0,3.3
317,Real Estate,Logistics,557523,6871009,327913,6.0,8.1,9.6,1.1,8.6
318,Real Estate,GreenTech,974588,3844712,2678057,6.8,5.8,8.5,2.8,5.6
319,Entertainment,Medical,573060,4142655,2022388,2.1,3.9,1.5,8.3,5.1
320,Retail,Media,877420,1881736,2154657,5.8,7.3,5.2,6.9,7.5
321,Environment,Logistics,933723,1669587,4384277,4.4,8.7,1.5,6.2,4.7
322,Education,Logistics,703350,0,2375066,9.8,9.6,8.5,6.3,9.1
323,Finance,GreenTech,416521,5163753,1369525,2.4,2.5,1.9,7.9,7.2
324,Environment,AI,429682,1321526,0,7.5,2.0,1.6,5.9,2.8
325,Transportation,EdTech,112460,1344379,2683578,4.0,2.7,6.3,8.0,1.8
326,Entertainment,Medical,738513,9565995,2884077,5.1,4.4,3.2,8.3,9.0
327,Transportation,Medical,124206,0,1594189,1.4,5.9,2.7,0.1,0.8
328,Retail,AI,488406,0,4669098,4.6,4.4,7.6,9.2,7.7
329,Education,Media,550264,8816130,3550673,4.7,9.0,2.3,0.5,0.9
330,Environment,Media,510235,2241691,0,2.0,8.7,8.4,6.5,7.9
331,Environment,EdTech,694245,5398962,4089070,8.7,7.0,4.7,4.2,9.9
332,Technology,GreenTech,125712,3461078,563046,5.0,2.5,9.3,6.2,5.4
333,Transportation,Medical,849364,6629236,0,5.6,3.3,9.9,7.2,2.9
334,Retail,Media,369371,5773249,0,5.3,9.3,7.3,3.3,1.9
335,Finance,Property,772699,1195008,3120843,5.1,8.6,5.0,4.1,4.6
336,Retail,GreenTech,637934,7860181,2282941,5.8,1.7,5.0,3.3,2.2
337,Entertainment,E-commerce,825642,7473158,516181,1.4,5.6,4.1,9.0,8.5
