id,theme_id,category_id,start_m,investments_m,crowdfunding_m,experience_years,team_size,tech_investment,competitors,audience_reach,market_size,team_desc,tech_level,comp_level,social_impact_desc,demand_level
25,Energy,TravelTech,14750,78000,20197,4,49,463470,59,275298,25647962,эксперты,высокий,низкая конкуренция,низкое влияние,высокий спрос
26,Space,E-commerce,44750,78000,36752,15,2,262314,39,208485,42215229,средний опыт,низкий,низкая конкуренция,низкое влияние,средний спрос
27,Space,AI,51250,18500,41844,2,42,927345,63,372955,25680634,эксперты,низкий,высокая конкуренция,высокое влияние,низкий спрос
28,Transportation,E-commerce,93500,41000,23701,3,44,474948,43,543192,31995634,эксперты,высокий,низкая конкуренция,среднее влияние,низкий спрос
29,Finance,Medical,98500,50000,17995,18,21,21951,84,559915,54235091,средний опыт,средний,средняя конкуренция,низкое влияние,высокий спрос
30,Education,SpaceTech,77500,85500,14487,8,2,246166,4,536250,58899751,эксперты,высокий,низкая конкуренция,среднее влияние,низкий спрос
31,Education,E-commerce,19250,130000,29052,18,5,883987,21,678893,71664205,эксперты,высокий,средняя конкуренция,низкое влияние,низкий спрос
32,Education,FinTech,35000,114000,6616,8,35,669914,82,544486,86336586,новички,низкий,средняя конкуренция,высокое влияние,низкий спрос
33,Energy,EnergyTech,81000,55500,48097,2,11,965429,29,249689,30837493,средний опыт,низкий,высокая конкуренция,высокое влияние,средний спрос
34,Education,AI,74500,34000,22223,4,22,705703,93,863129,58586174,средний опыт,низкий,средняя конкуренция,высокое влияние,высокий спрос
35,Transportation,Medical,66250,63000,33538,11,23,265825,70,367791,64150040,новички,высокий,низкая конкуренция,высокое влияние,высокий спрос
36,Biotech,FashionTech,88750,3000,37733,11,31,321237,36,241605,53778889,новички,средний,средняя конкуренция,низкое влияние,средний спрос
37,Fashion,Property,7750,158500,16943,3,25,314670,86,964382,26262898,эксперты,средний,высокая конкуренция,высокое влияние,средний спрос
38,Real Estate,Cybersecurity,72500,64500,49971,17,23,452715,93,936177,61379420,средний опыт,низкий,низкая конкуренция,высокое влияние,низкий спрос
39,Fashion,Media,59000,148000,27585,15,44,94102,64,265323,88390986,эксперты,средний,средняя конкуренция,среднее влияние,низкий спрос
40,Security,Medical,58000,81000,14724,19,21,699600,6,354249,80785488,эксперты,высокий,средняя конкуренция,среднее влияние,средний спрос
41,Real Estate,EnergyTech,84250,146500,48039,20,1,193384,2,403519,90193396,средний опыт,высокий,средняя конкуренция,низкое влияние,средний спрос
42,Real Estate,FashionTech,37750,85500,12515,20,10,925865,16,979529,52097693,эксперты,высокий,высокая конкуренция,среднее влияние,низкий спрос
43,Healthcare,FinTech,64750,30500,27609,15,28,942789,66,592399,38652737,эксперты,высокий,низкая конкуренция,низкое влияние,низкий спрос
44,Fashion,AI,95750,178000,20747,14,34,131304,97,648575,96185249,новички,высокий,низкая конкуренция,среднее влияние,низкий спрос
45,Retail,Cybersecurity,53000,41500,39818,20,23,488929,10,834877,49269415,эксперты,средний,средняя конкуренция,низкое влияние,средний спрос
46,Environment,Medical,76500,194500,41752,3,23,502773,89,98319,76055789,новички,средний,средняя конкуренция,низкое влияние,высокий спрос
47,Environment,Property,80750,62000,17879,17,15,567254,44,974163,78467462,средний опыт,высокий,низкая конкуренция,низкое влияние,высокий спрос
48,Finance,GreenTech,500,50000,11443,9,41,481537,45,350817,53922036,эксперты,высокий,высокая конкуренция,низкое влияние,средний спрос
49,Food,Medical,61250,96500,9020,12,14,47491,74,787249,47227965,новички,высокий,средняя конкуренция,среднее влияние,низкий спрос
50,Retail,FashionTech,40750,75000,11124,6,35,518563,81,23687,27490864,средний опыт,низкий,средняя конкуренция,низкое влияние,низкий спрос
51,Food,GreenTech,93500,92500,43769,5,48,583698,38,532247,29881554,эксперты,средний,средняя конкуренция,среднее влияние,низкий спрос
52,Retail,EnergyTech,23000,2500,45520,15,26,54917,27,637367,78767583,новички,высокий,низкая конкуренция,низкое влияние,средний спрос
53,Transportation,Logistics,20250,8500,24549,8,42,237271,94,796137,66615345,новички,высокий,низкая конкуренция,высокое влияние,низкий спрос
54,Space,FashionTech,14250,148000,41489,13,42,879277,51,457679,87528265,новички,средний,высокая конкуренция,среднее влияние,средний спрос
55,Technology,FashionTech,15750,162500,2647,12,48,35174,4,652035,94209564,эксперты,высокий,низкая конкуренция,высокое влияние,низкий спрос
56,Real Estate,TravelTech,55750,130000,13222,6,7,690046,85,596920,96076210,средний опыт,средний,низкая конкуренция,высокое влияние,высокий спрос
57,Food,AI,81250,43000,22446,11,40,437894,8,683571,51924833,эксперты,низкий,высокая конкуренция,высокое влияние,высокий спрос
58,Environment,E-commerce,28750,23000,14735,8,43,885386,19,142673,19915635,новички,высокий,высокая конкуренция,высокое влияние,высокий спрос
59,Entertainment,E-commerce,92750,92000,14922,9,24,127009,38,111737,54293140,эксперты,низкий,высокая конкуренция,низкое влияние,высокий спрос
60,Retail,EdTech,94500,14000,39843,15,20,266205,12,424512,7898628,новички,высокий,низкая конкуренция,среднее влияние,высокий спрос
61,Retail,Property,13750,111500,21509,18,48,531273,65,722228,23335379,эксперты,высокий,низкая конкуренция,низкое влияние,средний спрос
62,Food,EdTech,74000,8500,27138,11,15,20507,51,163590,45381584,средний опыт,средний,низкая конкуренция,среднее влияние,средний спрос
63,Retail,AI,54000,134000,2353,3,18,934942,67,195866,35307705,эксперты,низкий,низкая конкуренция,высокое влияние,высокий спрос
64,Energy,FashionTech,5500,126500,15450,7,46,793664,81,151662,67287142,средний опыт,средний,высокая конкуренция,высокое влияние,средний спрос
65,Technology,EdTech,14250,118500,10119,11,24,953090,19,117212,64643603,средний опыт,низкий,высокая конкуренция,высокое влияние,низкий спрос
66,Food,TravelTech,19500,120000,34128,10,40,389151,90,548084,14228720,средний опыт,средний,низкая конкуренция,высокое влияние,высокий спрос
67,Energy,TravelTech,34000,25000,35452,16,29,370968,10,278369,49485048,новички,средний,низкая конкуренция,среднее влияние,средний спрос
68,Healthcare,E-commerce,13500,129000,12905,16,7,600210,68,608987,49982825,эксперты,высокий,низкая конкуренция,среднее влияние,низкий спрос
69,Technology,EnergyTech,61500,89000,14417,19,34,770312,25,279513,37578295,новички,высокий,средняя конкуренция,низкое влияние,высокий спрос
70,Retail,AI,87500,49000,9049,16,1,322602,58,252916,93048536,новички,низкий,высокая конкуренция,высокое влияние,высокий спрос
71,Environment,Biotech,38750,10500,2610,19,25,187237,46,500664,21268762,новички,высокий,высокая конкуренция,высокое влияние,высокий спрос
72,Environment,EdTech,66250,78500,21282,16,14,913496,4,911209,75030520,средний опыт,высокий,низкая конкуренция,низкое влияние,средний спрос
73,Environment,Property,83250,183500,33949,17,45,540725,25,435065,7099188,новички,низкий,низкая конкуренция,низкое влияние,средний спрос
74,Retail,EnergyTech,18750,67500,46446,5,11,361993,28,940061,7707525,новички,средний,средняя конкуренция,высокое влияние,низкий спрос
75,Travel,TravelTech,35500,49500,38390,11,3,281716,23,981550,27099816,новички,низкий,низкая конкуренция,высокое влияние,средний спрос
76,Space,E-commerce,58000,163000,43713,12,22,431928,89,735490,35862264,новички,высокий,низкая конкуренция,высокое влияние,средний спрос
77,Finance,Property,29500,108000,21337,20,22,173684,92,370612,34629803,новички,высокий,низкая конкуренция,низкое влияние,высокий спрос
78,Fashion,FinTech,34750,191500,24059,6,28,239355,37,279295,28358502,эксперты,высокий,высокая конкуренция,высокое влияние,высокий спрос
79,Security,Cybersecurity,29250,52500,13528,18,46,506760,35,239845,95531304,средний опыт,средний,высокая конкуренция,низкое влияние,высокий спрос
80,Security,GreenTech,11000,12000,32659,12,25,697617,4,320979,59638177,эксперты,средний,средняя конкуренция,среднее влияние,высокий спрос
81,Entertainment,AI,61000,63500,45586,10,20,450357,96,281359,96230913,средний опыт,высокий,высокая конкуренция,низкое влияние,низкий спрос
82,Environment,Media,80500,17000,42411,14,3,877038,50,975606,3226394,средний опыт,высокий,высокая конкуренция,высокое влияние,низкий спрос
83,Healthcare,GreenTech,25500,70000,45262,9,38,208298,21,255780,54110421,новички,средний,высокая конкуренция,высокое влияние,высокий спрос
84,Fashion,SpaceTech,75500,56500,3654,7,32,745124,13,233881,52942700,эксперты,средний,низкая конкуренция,низкое влияние,средний спрос
85,Real Estate,Property,77500,90500,9540,6,45,897787,76,727931,58240245,средний опыт,средний,высокая конкуренция,высокое влияние,средний спрос
86,Transportation,GreenTech,95250,63500,32129,5,32,370030,43,513280,44322188,новички,низкий,низкая конкуренция,среднее влияние,высокий спрос
87,Food,Cybersecurity,54000,95500,4836,17,26,864181,84,114029,3884491,средний опыт,средний,низкая конкуренция,среднее влияние,низкий спрос
88,Food,AI,67500,111500,41398,13,1,402999,25,98283,62368812,средний опыт,средний,низкая конкуренция,высокое влияние,низкий спрос
89,Travel,GreenTech,40750,33500,35993,3,17,468674,33,819164,27235610,эксперты,низкий,высокая конкуренция,среднее влияние,высокий спрос
90,Healthcare,FashionTech,85500,153000,46737,3,6,680201,18,719821,75023981,новички,высокий,высокая конкуренция,высокое влияние,низкий спрос
91,Space,Property,10250,8500,36990,7,46,834739,95,753473,88632627,новички,высокий,высокая конкуренция,низкое влияние,низкий спрос
92,Space,Cybersecurity,7750,197500,18487,16,13,945450,17,295889,54877633,эксперты,высокий,средняя конкуренция,низкое влияние,средний спрос
93,Retail,AI,81000,54500,26825,16,39,500448,88,634252,27110063,средний опыт,низкий,высокая конкуренция,среднее влияние,высокий спрос
94,Healthcare,FinTech,8750,57500,12774,17,37,919918,42,779430,3341426,эксперты,низкий,высокая конкуренция,низкое влияние,средний спрос
95,Environment,Medical,87500,47500,35490,12,22,205825,31,832001,27576745,новички,средний,низкая конкуренция,низкое влияние,высокий спрос
96,Travel,FinTech,25000,50000,3351,1,12,406361,64,810245,82047928,средний опыт,средний,средняя конкуренция,низкое влияние,низкий спрос
97,Finance,AI,89250,78000,37606,6,46,834466,8,391671,34966855,новички,низкий,высокая конкуренция,среднее влияние,высокий спрос
98,Transportation,EnergyTech,19000,46000,36724,18,50,528652,81,653915,22416864,средний опыт,средний,низкая конкуренция,высокое влияние,высокий спрос
99,Real Estate,FashionTech,47250,45500,31997,17,14,143342,53,643299,88666150,новички,низкий,средняя конкуренция,высокое влияние,низкий спрос
100,Food,EnergyTech,25000,58000,9239,6,41,147960,52,222646,74069220,эксперты,высокий,высокая конкуренция,высокое влияние,средний спрос
101,Entertainment,FashionTech,4000,11000,7930,3,41,972756,36,494156,48303695,средний опыт,средний,низкая конкуренция,среднее влияние,высокий спрос
102,Entertainment,Cybersecurity,2000,64000,2708,8,7,931791,61,132769,38736776,средний опыт,высокий,высокая конкуренция,среднее влияние,средний спрос
103,Real Estate,EdTech,57250,189000,9145,16,32,876053,67,877512,78724795,новички,низкий,средняя конкуренция,высокое влияние,низкий спрос
104,Biotech,FoodTech,79250,66000,25565,2,2,416145,30,327533,62248855,эксперты,высокий,низкая конкуренция,низкое влияние,средний спрос
105,Fashion,AI,83000,78000,5881,17,20,665119,18,308463,22126409,эксперты,высокий,средняя конкуренция,среднее влияние,высокий спрос
106,Real Estate,Biotech,8750,16000,37151,16,12,823895,41,487315,34164140,средний опыт,средний,низкая конкуренция,низкое влияние,высокий спрос
107,Space,FinTech,84750,154000,45838,12,23,38460,19,526718,37857318,новички,средний,средняя конкуренция,высокое влияние,средний спрос
108,Education,Medical,11000,162500,40513,15,34,829535,19,263601,75547958,эксперты,средний,высокая конкуренция,низкое влияние,низкий спрос
109,Fashion,AI,89750,43000,24518,14,13,633773,86,787721,51244343,новички,низкий,низкая конкуренция,высокое влияние,средний спрос
110,Food,FashionTech,59750,180000,22709,19,22,671773,11,980305,74976823,новички,высокий,низкая конкуренция,среднее влияние,высокий спрос
111,Environment,E-commerce,11000,121000,32339,7,19,683116,99,167990,23901860,средний опыт,средний,высокая конкуренция,высокое влияние,высокий спрос
112,Biotech,AI,10750,57000,1157,12,37,28599,42,346600,14574725,средний опыт,высокий,средняя конкуренция,среднее влияние,низкий спрос
113,Food,EnergyTech,92750,41500,22291,8,37,474480,94,311303,79377810,средний опыт,высокий,низкая конкуренция,среднее влияние,средний спрос
114,Environment,EnergyTech,47000,155500,13767,5,20,515281,38,193686,36832898,эксперты,низкий,высокая конкуренция,среднее влияние,низкий спрос
115,Retail,Medical,22000,188500,46038,19,25,262382,4,492890,2284385,средний опыт,средний,высокая конкуренция,низкое влияние,высокий спрос
116,Travel,Property,89750,35000,36497,18,37,718892,65,987788,37242468,новички,высокий,низкая конкуренция,высокое влияние,высокий спрос
117,Biotech,E-commerce,39250,193500,12459,4,45,299731,68,550680,62784344,эксперты,средний,низкая конкуренция,низкое влияние,низкий спрос
118,Transportation,FashionTech,8500,184000,37461,6,14,250106,23,9988,18777521,средний опыт,высокий,средняя конкуренция,высокое влияние,средний спрос
119,Energy,FinTech,49250,153500,11746,15,7,742346,73,102809,61889468,новички,высокий,высокая конкуренция,низкое влияние,средний спрос
120,Environment,Logistics,18000,6500,8028,17,28,204685,45,274983,41649513,эксперты,высокий,средняя конкуренция,высокое влияние,средний спрос
121,Healthcare,TravelTech,92250,138500,31432,17,13,27439,49,929933,37109183,эксперты,высокий,низкая конкуренция,высокое влияние,средний спрос
122,Travel,Logistics,26250,195500,10807,3,18,179438,2,422644,5296578,эксперты,высокий,низкая конкуренция,низкое влияние,средний спрос
123,Entertainment,Property,96250,23500,38390,5,16,609281,81,219656,66839017,средний опыт,средний,высокая конкуренция,среднее влияние,высокий спрос
124,Real Estate,SpaceTech,58500,143500,16108,5,19,710816,65,164765,83780680,средний опыт,средний,средняя конкуренция,высокое влияние,средний спрос
125,Food,EnergyTech,86500,135000,15463,10,22,210345,64,177049,92078120,эксперты,средний,высокая конкуренция,среднее влияние,низкий спрос
126,Security,E-commerce,59250,42000,45982,6,13,649572,88,784649,47674445,эксперты,высокий,средняя конкуренция,высокое влияние,высокий спрос
127,Real Estate,Logistics,22500,28500,29594,16,7,633519,49,741203,55005133,эксперты,высокий,средняя конкуренция,среднее влияние,высокий спрос
128,Space,FinTech,66750,122000,47289,1,43,576979,51,692249,67331648,эксперты,низкий,средняя конкуренция,высокое влияние,высокий спрос
129,Biotech,Cybersecurity,30750,92500,36959,5,20,393862,10,871324,47920576,средний опыт,средний,низкая конкуренция,низкое влияние,низкий спрос
130,Energy,Biotech,1000,196000,11514,20,13,948767,76,333238,76401433,новички,высокий,средняя конкуренция,среднее влияние,низкий спрос
131,Education,Property,93750,39500,4594,13,15,568474,35,705229,17026054,эксперты,высокий,высокая конкуренция,среднее влияние,низкий спрос
132,Technology,Logistics,10500,174500,12805,19,9,256561,63,409104,99080167,эксперты,высокий,низкая конкуренция,низкое влияние,низкий спрос
133,Real Estate,Medical,95000,20500,18602,5,4,96072,55,669329,1893115,эксперты,высокий,средняя конкуренция,низкое влияние,средний спрос
134,Technology,Logistics,45250,6500,29023,8,8,625213,20,119815,28263864,новички,низкий,низкая конкуренция,низкое влияние,высокий спрос
135,Security,Logistics,27500,169000,42494,20,38,48453,55,543718,4707681,новички,низкий,низкая конкуренция,высокое влияние,высокий спрос
136,Real Estate,AI,25250,65500,46254,5,27,437234,28,452695,83320066,средний опыт,высокий,средняя конкуренция,среднее влияние,средний спрос
137,Retail,TravelTech,96500,188500,25163,4,19,207935,85,656093,91328300,новички,средний,высокая конкуренция,низкое влияние,средний спрос
138,Education,Medical,79500,17000,1430,2,32,245760,74,557064,58022610,эксперты,высокий,низкая конкуренция,высокое влияние,средний спрос
139,Finance,AI,85250,190000,20397,2,42,446730,15,272581,88268955,эксперты,средний,низкая конкуренция,среднее влияние,высокий спрос
140,Food,AI,88000,83500,36184,1,47,396410,43,657881,16916546,новички,высокий,низкая конкуренция,низкое влияние,высокий спрос
141,Technology,Medical,40500,89000,44633,16,20,186588,30,452432,22850361,средний опыт,средний,низкая конкуренция,низкое влияние,средний спрос
142,Energy,FoodTech,92750,27000,41883,3,19,776164,87,350705,18415719,эксперты,высокий,низкая конкуренция,среднее влияние,средний спрос
143,Security,FashionTech,62000,121500,37333,11,6,790304,4,408478,82441310,средний опыт,низкий,высокая конкуренция,высокое влияние,низкий спрос
144,Environment,EdTech,100000,165000,22213,2,19,380407,4,117041,99022562,эксперты,средний,низкая конкуренция,низкое влияние,высокий спрос
145,Finance,GreenTech,97000,140500,42646,20,47,177348,87,836111,12232496,средний опыт,средний,низкая конкуренция,низкое влияние,низкий спрос
146,Space,Biotech,33750,124500,22953,10,17,51244,42,750179,74769951,новички,низкий,низкая конкуренция,низкое влияние,высокий спрос
147,Transportation,Medical,91750,184000,34650,18,37,655385,82,916274,41600161,средний опыт,средний,средняя конкуренция,высокое влияние,средний спрос
148,Fashion,FoodTech,66500,161500,18175,12,44,732071,69,170831,8510513,новички,высокий,низкая конкуренция,низкое влияние,высокий спрос
149,Transportation,Logistics,56000,156000,14858,4,25,219652,56,323758,91818046,средний опыт,высокий,высокая конкуренция,низкое влияние,средний спрос
150,Healthcare,E-commerce,21250,119000,21694,20,21,638702,12,687956,34528648,эксперты,низкий,высокая конкуренция,низкое влияние,высокий спрос
151,Education,Media,80750,153000,41677,17,42,410735,5,844375,2541660,эксперты,высокий,низкая конкуренция,низкое влияние,высокий спрос
152,Transportation,FinTech,89500,81000,48883,17,13,276653,96,505270,75629459,средний опыт,низкий,высокая конкуренция,высокое влияние,низкий спрос
153,Biotech,SpaceTech,3500,85000,15004,12,50,68463,84,176407,1140882,средний опыт,высокий,средняя конкуренция,низкое влияние,высокий спрос
154,Retail,Property,47250,30500,29151,3,3,853605,78,282502,74869484,эксперты,низкий,низкая конкуренция,среднее влияние,низкий спрос
155,Environment,SpaceTech,14750,7500,12876,19,45,363269,62,479057,50170474,эксперты,высокий,высокая конкуренция,низкое влияние,низкий спрос
156,Finance,FashionTech,31750,9000,3696,9,4,575717,80,171146,30175179,средний опыт,высокий,высокая конкуренция,низкое влияние,средний спрос
157,Finance,EdTech,19250,82500,21399,5,22,233825,19,39967,47719178,новички,средний,низкая конкуренция,высокое влияние,средний спрос
158,Retail,FashionTech,8750,69000,1269,15,33,243788,47,707907,59465312,средний опыт,низкий,средняя конкуренция,среднее влияние,низкий спрос
159,Security,TravelTech,96000,47500,19945,14,50,883242,29,143909,61113678,эксперты,высокий,высокая конкуренция,среднее влияние,средний спрос
160,Fashion,Cybersecurity,22250,55500,36339,13,17,57209,13,831322,86781614,новички,средний,высокая конкуренция,низкое влияние,высокий спрос
161,Space,FinTech,42750,59500,36944,9,19,878498,65,529133,44786528,новички,низкий,низкая конкуренция,низкое влияние,высокий спрос
162,Finance,EdTech,16000,137500,33059,1,35,260118,21,563638,61109885,средний опыт,средний,низкая конкуренция,среднее влияние,низкий спрос
163,Education,Media,68000,62500,15652,16,10,393407,4,133597,1271806,эксперты,высокий,высокая конкуренция,низкое влияние,высокий спрос
164,Retail,FashionTech,19500,90500,42763,3,38,179886,74,958983,62534195,новички,средний,средняя конкуренция,высокое влияние,высокий спрос
165,Education,Media,8500,2000,5256,3,39,994651,58,795057,82207186,средний опыт,высокий,низкая конкуренция,высокое влияние,средний спрос
166,Space,Logistics,78500,128000,24409,10,38,390010,93,546708,28609827,средний опыт,низкий,средняя конкуренция,низкое влияние,высокий спрос
167,Energy,Medical,36000,64500,41701,3,31,215033,65,67856,52067452,эксперты,высокий,средняя конкуренция,среднее влияние,низкий спрос
168,Technology,AI,28000,127500,5122,1,4,406967,17,667979,48252821,новички,низкий,высокая конкуренция,низкое влияние,средний спрос
169,Security,SpaceTech,35000,40000,12190,10,8,644269,35,610081,25404422,средний опыт,высокий,низкая конкуренция,высокое влияние,высокий спрос
170,Biotech,Logistics,98500,108500,20658,13,23,723094,61,29362,56996946,новички,высокий,высокая конкуренция,высокое влияние,низкий спрос
171,Security,FinTech,91750,67500,2361,17,20,917308,92,329198,37389582,эксперты,низкий,высокая конкуренция,низкое влияние,низкий спрос
172,Entertainment,Media,48000,67000,39472,4,33,588566,36,478009,25464787,новички,средний,низкая конкуренция,высокое влияние,высокий спрос
173,Fashion,Cybersecurity,25500,177500,48122,7,47,36464,88,87821,90737544,средний опыт,средний,низкая конкуренция,высокое влияние,высокий спрос
174,Fashion,FinTech,77000,150500,16286,12,29,324910,7,636466,88439115,новички,средний,высокая конкуренция,низкое влияние,средний спрос
175,Security,EdTech,39750,45000,16160,20,25,955881,88,901655,73733528,новички,высокий,средняя конкуренция,среднее влияние,высокий спрос
176,Healthcare,Property,78000,142500,31458,5,42,548033,85,157047,58232310,эксперты,средний,средняя конкуренция,низкое влияние,средний спрос
177,Fashion,Biotech,53000,78500,46023,12,4,712328,83,68358,84668828,средний опыт,средний,средняя конкуренция,высокое влияние,низкий спрос
178,Technology,EnergyTech,24000,47000,33455,12,2,178965,26,517991,11377970,средний опыт,средний,высокая конкуренция,высокое влияние,средний спрос
179,Technology,Cybersecurity,56000,157500,42140,9,19,290964,92,34607,79676357,средний опыт,высокий,низкая конкуренция,среднее влияние,средний спрос
180,Healthcare,FoodTech,12500,65000,6594,7,30,323414,45,845101,89193163,эксперты,низкий,средняя конкуренция,низкое влияние,низкий спрос
181,Environment,E-commerce,51750,115000,6850,12,11,99150,31,154335,67056996,новички,низкий,низкая конкуренция,высокое влияние,низкий спрос
182,Technology,SpaceTech,20000,102500,10973,10,26,942867,48,990706,88349162,средний опыт,низкий,средняя конкуренция,низкое влияние,высокий спрос
183,Education,AI,66500,169500,29205,7,42,905201,85,797720,30835603,средний опыт,низкий,низкая конкуренция,высокое влияние,средний спрос
184,Security,GreenTech,53750,24500,18508,14,48,628963,96,980255,59337659,средний опыт,высокий,высокая конкуренция,среднее влияние,низкий спрос
185,Transportation,FoodTech,25750,96000,22598,6,40,284157,46,310511,75622881,средний опыт,низкий,низкая конкуренция,низкое влияние,средний спрос
186,Real Estate,EnergyTech,77750,4000,35410,17,12,514714,54,214790,84624081,новички,низкий,низкая конкуренция,низкое влияние,высокий спрос
187,Environment,Media,52250,182500,4987,5,17,786051,99,247579,63776688,эксперты,средний,средняя конкуренция,высокое влияние,средний спрос
188,Entertainment,E-commerce,13500,119000,4085,16,19,945106,51,130531,48037666,эксперты,средний,средняя конкуренция,высокое влияние,низкий спрос
189,Finance,FashionTech,20500,32000,10697,6,39,908098,86,376708,24196797,средний опыт,высокий,высокая конкуренция,среднее влияние,высокий спрос
190,Food,EdTech,38500,74500,7893,16,2,600564,28,935248,36343215,средний опыт,высокий,средняя конкуренция,высокое влияние,средний спрос
191,Food,Media,87000,121500,8165,10,37,109887,42,37700,76384973,новички,низкий,высокая конкуренция,высокое влияние,средний спрос
192,Fashion,Media,36500,33500,42674,1,22,349720,32,861283,70802369,эксперты,низкий,низкая конкуренция,низкое влияние,низкий спрос
193,Finance,AI,79000,36000,41921,16,13,645076,63,889138,98235188,новички,высокий,высокая конкуренция,низкое влияние,средний спрос
194,Real Estate,GreenTech,87250,2500,27944,5,47,82168,7,36309,63345079,эксперты,низкий,средняя конкуренция,низкое влияние,высокий спрос
195,Travel,FinTech,96000,9000,1033,1,49,864971,34,452829,36240182,эксперты,высокий,низкая конкуренция,среднее влияние,высокий спрос
196,Education,FinTech,48000,148500,40382,5,4,231912,24,824955,15445833,новички,высокий,низкая конкуренция,среднее влияние,низкий спрос
197,Space,TravelTech,25000,125500,16693,1,49,234410,99,233028,71944202,новички,низкий,низкая конкуренция,низкое влияние,средний спрос
198,Transportation,GreenTech,57250,74000,47682,17,42,584573,53,5980,29050453,средний опыт,средний,высокая конкуренция,низкое влияние,средний спрос
199,Healthcare,EnergyTech,73750,106500,43626,5,21,897242,25,977315,27515627,эксперты,низкий,низкая конкуренция,низкое влияние,высокий спрос
200,Healthcare,TravelTech,27500,47000,43149,19,1,480353,51,795164,62714041,эксперты,низкий,высокая конкуренция,низкое влияние,высокий спрос
201,Healthcare,FinTech,43250,103500,24195,12,41,693202,9,749160,75668920,эксперты,средний,низкая конкуренция,низкое влияние,высокий спрос
202,Food,Cybersecurity,90250,103000,8576,2,33,186525,56,730870,71414739,новички,средний,средняя конкуренция,низкое влияние,средний спрос
203,Biotech,FinTech,62750,155000,5521,12,18,597436,56,656787,58877627,эксперты,средний,высокая конкуренция,высокое влияние,высокий спрос
204,Food,AI,44500,105000,5578,10,32,105449,50,822545,2744030,средний опыт,средний,низкая конкуренция,низкое влияние,средний спрос
