id,theme,category,start_m,investments_m,crowdfunding_m,team_idx,tech_idx,comp_idx,social_idx,demand_idx
147,Space,GreenTech,633494,8081684,3663767,4.8,3.5,9.5,4.2,3.7
148,Travel,Logistics,754726,9917933,1226493,5.0,4.1,1.5,8.4,7.6
149,Energy,Medical,278929,0,3355884,7.0,5.2,8.0,4.1,10.0
150,Biotech,Media,543611,1402561,4563372,3.3,7.9,4.0,2.5,8.4
151,Biotech,E-commerce,676358,0,1544273,9.5,3.7,8.1,2.7,8.0
152,Environment,AI,842136,9337321,3484513,5.5,7.4,5.3,7.8,2.4
153,Security,SpaceTech,647495,0,4735399,8.7,6.2,9.7,6.1,2.6
154,Biotech,FinTech,176890,9036584,4583496,6.8,5.9,1.6,5.0,4.7
155,Security,EdTech,713288,0,2343657,3.6,5.7,3.2,2.0,6.3
156,Environment,TravelTech,964117,5161305,2917602,7.0,5.4,7.1,6.4,8.1
157,Education,EnergyTech,858311,0,384827,1.6,9.1,7.9,3.9,5.9
158,Transportation,Media,718092,0,0,9.6,8.0,4.6,4.3,1.0
159,Fashion,E-commerce,303905,7355064,2620216,9.8,6.5,3.3,5.5,3.4
160,Entertainment,FinTech,914701,7621170,2929401,4.9,1.6,5.4,4.2,3.2
161,Retail,FashionTech,904829,7690202,4665150,3.1,4.0,9.7,7.6,8.7
162,Biotech,FinTech,441344,0,1691652,9.3,6.4,6.1,1.1,9.0
163,Education,FinTech,190377,708028,619311,7.1,2.2,8.5,9.8,8.0
164,Fashion,Biotech,294344,5244187,4771110,2.2,5.0,9.2,9.8,9.9
165,Energy,Biotech,231297,4849310,3024377,1.8,3.4,4.0,7.5,4.2
166,Healthcare,Medical,920148,5355548,3146371,6.3,4.2,5.9,6.0,2.4
167,Retail,Cybersecurity,948687,6606918,0,4.4,5.1,7.3,7.3,2.6
168,Retail,FashionTech,171095,8757824,1567188,7.4,7.7,5.2,0.5,0.8
169,Environment,GreenTech,824004,0,3844564,5.6,4.2,4.0,0.5,0.8
170,Fashion,FashionTech,189898,5664067,693968,1.2,7.8,1.7,0.7,0.9
171,Entertainment,Property,383025,885905,4775019,7.6,6.8,4.2,4.3,2.0
172,Technology,FinTech,331212,2079315,946524,6.5,7.7,4.1,1.1,6.2
173,Biotech,EdTech,152956,1354101,286309,8.7,6.2,10.0,9.5,8.1
174,Food,FoodTech,362444,8030460,1773738,5.5,7.1,6.4,2.6,4.6
175,Retail,TravelTech,995546,0,1134528,4.7,3.3,3.1,3.6,7.7
176,Food,TravelTech,861714,4631762,4834620,9.9,3.5,9.2,1.6,7.7
177,Transportation,Biotech,712572,6979777,3018684,4.3,4.3,5.6,6.9,2.5
178,Healthcare,FinTech,375044,7146950,2918663,8.5,6.8,6.6,6.8,5.7
179,Transportation,SpaceTech,409453,2562986,3423083,3.5,5.0,1.5,9.2,9.4
180,Fashion,FashionTech,992718,4255182,2717907,9.1,9.2,9.1,2.1,1.3
181,Space,EnergyTech,911361,9901053,4961469,4.3,3.2,4.6,9.5,6.0
182,Fashion,GreenTech,460661,656761,0,8.9,4.0,10.0,8.1,8.4
183,Transportation,FinTech,648569,0,3875312,7.1,2.7,6.1,6.4,8.5
184,Technology,FinTech,758744,2822086,1880263,1.5,3.7,6.2,7.3,9.2
185,Environment,TravelTech,599881,2295434,2291611,3.4,8.3,1.6,6.4,6.0
186,Entertainment,GreenTech,669139,9022423,3086821,9.6,1.8,1.3,5.8,8.4
187,Energy,Biotech,636873,3609113,4371494,8.2,3.1,1.5,1.3,9.2
188,Education,SpaceTech,941794,1182852,0,1.7,2.2,4.4,9.7,7.7
189,Energy,FoodTech,252550,714639,4867155,3.2,9.9,9.7,9.4,2.6
190,Entertainment,EnergyTech,160705,2193888,4730584,1.7,2.5,7.2,4.1,6.4
191,Energy,Media,360525,4832188,1487598,1.4,2.8,4.2,8.9,6.6
192,Travel,EdTech,136520,5584460,0,1.5,1.5,8.6,3.9,1.3
193,Technology,SpaceTech,469207,2948890,4756285,2.3,1.6,7.5,6.2,1.6
194,Healthcare,TravelTech,155633,5174494,1374345,8.5,5.9,9.2,2.0,7.5
195,Finance,GreenTech,165485,7158167,4422184,3.0,5.3,7.1,3.4,6.6
196,Finance,FinTech,242237,8205150,4826859,5.8,5.7,5.9,5.1,4.9
197,Fashion,Property,343874,8179109,1466392,2.2,9.0,7.9,5.8,6.7
198,Retail,Cybersecurity,796674,5708430,599788,7.2,2.3,3.9,7.2,4.7
199,Security,FoodTech,306980,1953152,431463,9.3,3.5,4.0,4.2,3.7
200,Finance,FoodTech,132920,0,2710767,4.8,5.8,4.3,6.5,4.0
201,Finance,TravelTech,316221,9688890,1311244,5.9,9.7,7.8,5.7,1.5
202,Security,Media,228492,8879780,0,7.6,2.6,8.0,6.3,5.4
203,Entertainment,Logistics,882197,9338069,2511118,5.2,1.6,3.8,8.4,3.1
204,Security,SpaceTech,286777,7744985,3461567,9.3,9.0,6.2,5.8,1.6
205,Transportation,Logistics,345694,9460336,0,6.4,9.6,5.6,0.2,0.5
206,Finance,SpaceTech,544867,862349,0,1.2,8.7,8.8,0.4,0.9
207,Environment,AI,193357,7977060,2924721,5.9,7.8,2.2,4.1,3.9
208,Technology,Medical,567609,9891176,1426807,5.8,7.8,7.9,7.9,9.1
209,Education,EdTech,682092,5434789,1615285,4.5,6.4,6.7,3.1,2.9
210,Fashion,Biotech,648151,0,1598841,8.9,5.0,6.2,7.7,8.5
211,Technology,Cybersecurity,399928,9692948,2259989,6.2,8.4,4.6,7.5,6.2
212,Entertainment,Media,726030,8293718,563524,9.1,7.5,3.6,9.0,3.0
213,Fashion,TravelTech,978211,7264079,3286430,3.8,8.4,8.7,4.9,9.0
214,Healthcare,SpaceTech,483558,3469909,320023,6.1,8.0,1.2,0.5,0.7
215,Environment,EnergyTech,194784,2903214,4122226,3.3,6.1,2.2,2.6,7.9
216,Food,FoodTech,578674,0,3579903,5.6,7.8,7.3,3.6,1.5
217,Technology,Media,579740,7953944,572974,9.7,7.0,5.7,9.5,2.2
218,Transportation,FashionTech,772876,9910482,4445558,3.7,9.9,1.7,8.5,8.2
219,Fashion,E-commerce,411892,3044466,3237543,4.1,8.5,6.0,1.9,5.5
220,Travel,FoodTech,262255,7084345,3521379,3.8,9.0,9.2,0.5,0.5
221,Energy,FashionTech,964938,823102,852439,2.7,9.3,6.7,3.6,5.3
222,Fashion,Cybersecurity,945688,0,3863122,3.9,4.0,4.6,8.7,3.2
223,Education,Cybersecurity,873693,3827773,0,7.7,5.8,8.9,9.6,9.9
224,Retail,SpaceTech,730928,5441706,347482,8.4,9.3,2.7,4.9,1.3
225,Energy,Biotech,205933,9141486,1620009,4.4,6.3,1.3,0.1,0.2
226,Education,Cybersecurity,656161,0,3967454,2.6,6.7,8.3,8.8,1.2
227,Biotech,Medical,939378,0,888144,1.6,1.4,9.8,4.7,6.9
228,Space,FoodTech,213187,0,4185622,1.2,8.1,4.4,7.5,4.3
229,Energy,EdTech,471946,6624728,4657202,1.7,7.7,8.8,1.8,2.0
230,Healthcare,EdTech,855918,5544697,2760777,9.9,5.5,2.6,7.2,4.6
231,Travel,GreenTech,682350,0,1884368,8.4,5.9,5.0,3.2,2.3
232,Entertainment,Biotech,818845,2488365,1512623,9.9,6.2,4.8,7.9,1.8
233,Food,Media,989167,7183733,3120506,2.8,1.0,7.3,8.7,2.0
234,Technology,EnergyTech,261955,3505985,2861534,8.9,7.4,6.8,8.1,9.8
235,Entertainment,E-commerce,332062,783295,0,8.6,9.6,3.1,3.2,5.3
236,Transportation,Logistics,473285,3480678,2319549,7.3,7.1,6.1,2.4,7.4
237,Travel,GreenTech,615179,5376068,979445,4.1,7.7,1.2,6.1,9.7
238,Security,E-commerce,785007,8942244,2241940,3.6,6.3,2.8,5.1,5.1
239,Finance,EdTech,834889,3901508,4370089,5.3,7.3,1.8,2.8,9.6
240,Retail,Media,702102,0,0,5.6,8.4,6.2,4.0,3.3
241,Finance,E-commerce,562824,2176417,1963533,3.7,7.3,4.0,5.7,8.6
242,Biotech,Property,269677,5993054,1971481,7.4,8.9,9.0,4.5,9.4
243,Security,AI,310053,4317512,2296531,4.4,7.4,9.2,0.5,0.0
244,Energy,GreenTech,649608,1452418,1993156,9.2,8.9,8.1,3.2,4.6
245,Education,Medical,999412,0,1931007,2.2,6.1,3.1,8.3,3.3
246,Fashion,GreenTech,508286,5597048,1466075,8.2,3.6,1.9,9.6,8.6
247,Space,E-commerce,724360,9196874,0,7.6,6.9,2.1,6.2,3.2
248,Energy,Media,152973,7867599,3537152,7.6,3.0,3.4,2.2,4.0
249,Space,Property,909665,9595721,4139249,2.5,6.3,5.6,2.4,9.2
250,Environment,FinTech,930602,3350945,4391783,6.7,9.0,5.1,8.1,6.5
251,Travel,FinTech,455817,2211873,4493653,1.4,6.6,9.1,2.5,9.2
252,Biotech,GreenTech,770731,3817366,4895284,4.1,3.5,6.6,7.4,6.8
253,Food,FashionTech,591339,9653819,3797660,5.1,3.8,7.2,1.5,2.4
254,Retail,TravelTech,163882,7838167,1618749,3.7,4.9,9.7,7.4,7.5
255,Fashion,AI,380955,1432241,4697496,9.8,3.1,9.1,1.4,7.1
256,Technology,AI,597084,1825267,0,2.2,9.7,8.7,6.2,1.5
257,Environment,Logistics,836860,0,2299106,1.9,7.3,8.0,8.7,1.2
258,Real Estate,SpaceTech,530800,7066548,0,8.1,1.5,7.6,0.0,0.4
259,Environment,Medical,432662,0,1954036,4.0,3.3,7.2,2.7,8.0
260,Energy,EdTech,151972,2835039,1166661,9.0,9.9,5.7,6.0,9.5
261,Fashion,FashionTech,278764,1237402,0,1.1,5.4,8.4,0.3,0.6
262,Biotech,FoodTech,516642,1461498,1505742,4.8,5.9,2.2,2.8,1.0
263,Finance,Property,712889,7723628,539208,5.4,9.7,3.4,7.3,4.8
264,Technology,FoodTech,787604,1490538,4724466,3.4,1.6,9.5,2.9,5.1
265,Transportation,EnergyTech,469102,7858648,1032927,5.7,6.0,4.4,0.4,0.4
266,Food,FoodTech,547900,9534936,265896,6.9,4.9,7.1,3.3,5.3
267,Fashion,Medical,951097,3883822,994109,7.9,4.3,2.2,5.4,3.2
268,Food,EnergyTech,519106,9225867,1848019,7.5,6.0,2.5,4.0,3.1
269,Space,SpaceTech,132675,9397427,4917854,4.4,2.0,2.3,1.3,2.1
270,Travel,EnergyTech,739042,1097713,2996109,3.3,2.0,6.2,9.6,3.5
271,Entertainment,EdTech,514961,5101062,1283455,6.5,1.6,7.3,2.9,7.0
272,Space,Logistics,207196,8957445,3720911,8.4,5.8,4.0,5.5,3.9
273,Healthcare,FoodTech,216884,5940232,0,4.8,3.2,5.6,8.8,8.5
274,Education,EnergyTech,894464,9845952,2711373,8.4,2.7,3.0,0.1,0.6
275,Technology,Medical,805514,5594118,3020283,3.3,4.0,5.1,0.8,0.6
276,Travel,FashionTech,464187,9248477,4887801,7.0,1.4,2.5,4.2,2.9
277,Real Estate,Cybersecurity,114215,4369498,4685138,1.2,7.4,4.6,0.5,0.5
278,Education,TravelTech,644440,5465393,4826463,5.1,3.5,8.9,1.1,5.6
279,Retail,GreenTech,876651,7095462,801055,8.9,3.6,4.1,9.8,10.0
280,Real Estate,EnergyTech,235817,3168377,605551,2.3,9.8,5.5,0.1,0.4
281,Fashion,Medical,869564,0,0,5.6,2.6,6.6,1.4,3.4
282,Fashion,SpaceTech,257967,7362746,1450873,8.9,7.9,4.7,4.2,6.5
283,Biotech,Medical,407392,0,636845,6.9,5.6,1.7,10.0,2.3
284,Entertainment,SpaceTech,215753,6449166,4004294,3.2,2.8,8.8,2.0,8.6
285,Technology,GreenTech,777237,7730246,3529340,1.5,7.1,2.3,5.1,5.9
286,Food,TravelTech,537583,5843617,4669321,4.9,4.1,5.1,3.4,5.5
287,Space,EnergyTech,375180,4851579,4044453,8.4,4.5,5.8,0.7,0.7
288,Technology,Medical,100674,6377512,4161563,8.9,5.9,1.8,7.7,3.1
289,Space,Media,476509,9570111,2741650,4.5,4.0,3.7,7.0,4.0
290,Technology,Cybersecurity,485574,2658761,2959806,8.3,3.6,7.5,9.8,5.4
291,Fashion,EdTech,510449,6849096,3137487,5.9,2.7,8.3,4.3,6.9
292,Energy,Media,699532,0,3060350,4.6,8.3,5.3,6.8,2.0
293,Transportation,TravelTech,113012,7523501,3199746,4.5,3.3,8.6,3.6,2.3
294,Technology,Biotech,748796,0,0,8.6,7.6,3.3,3.8,7.2
295,Education,FashionTech,333037,6749364,1949928,2.6,2.9,2.0,3.5,3.8
296,Finance,Media,457863,2994777,2999760,4.3,7.2,9.2,7.2,2.6
297,Transportation,EdTech,920755,6818417,541723,7.9,2.0,4.1,0.8,0.7
298,Food,E-commerce,374254,0,444842,1.4,5.6,9.2,8.4,4.7
299,Environment,EnergyTech,194127,1487514,787227,5.2,2.5,9.6,2.6,9.2
300,Security,EnergyTech,963015,8449724,2061999,5.4,3.5,7.5,2.0,3.5
301,Real Estate,FashionTech,618969,8016284,0,8.2,6.5,2.5,8.7,4.7
302,Travel,E-commerce,264552,1535286,1390606,1.2,7.5,8.9,1.6,3.8
303,Education,Media,376639,7622075,1623442,6.8,5.8,7.0,3.4,5.4
304,Finance,EnergyTech,454368,6550479,4486592,1.4,1.6,4.6,5.9,2.8
305,Real Estate,EdTech,975026,1020192,3627288,9.5,8.5,8.3,0.5,0.6
306,Fashion,EnergyTech,697807,6291367,4534789,1.8,4.0,2.8,9.3,7.2
307,Space,Logistics,113772,0,132104,4.9,6.3,4.1,0.8,0.2
308,Technology,Biotech,360606,8870297,2243940,3.8,8.6,3.3,9.1,6.8
309,Space,TravelTech,584947,7706679,1295698,3.6,6.2,4.2,9.9,4.8
310,Education,FashionTech,727362,7848638,901890,9.2,9.5,9.8,7.7,10.0
311,Environment,EnergyTech,183454,5091653,2788809,9.5,3.9,8.8,9.1,4.1
312,Space,SpaceTech,438166,889592,581083,2.1,3.6,2.0,0.9,0.1
313,Healthcare,EnergyTech,131015,4315212,0,6.4,1.9,1.2,0.3,0.6
314,Energy,GreenTech,560837,8944546,0,3.3,6.2,4.4,1.1,3.6
315,Fashion,Media,937643,0,1830425,9.8,7.8,4.5,7.0,8.5
316,Travel,Biotech,789820,0,0,4.4,7.4,4.7,0.2,0.8
317,Energy,Media,567512,4588288,3042223,4.1,4.3,4.0,5.5,3.6
318,Security,SpaceTech,449898,945410,4724232,1.7,9.2,1.8,8.8,4.5
319,Security,TravelTech,541274,1102901,836563,4.3,5.1,6.4,5.3,3.0
320,Finance,FoodTech,210358,6426591,0,4.0,1.4,5.6,6.4,1.3
321,Biotech,Logistics,365683,4370253,2241871,3.0,9.9,3.5,6.3,3.6
322,Technology,SpaceTech,560268,6091368,3404591,8.6,4.0,1.9,8.4,7.6
323,Transportation,Cybersecurity,433237,7083492,2623406,6.4,1.2,1.7,6.7,6.5
324,Biotech,FoodTech,901658,6846380,956109,5.7,7.3,4.2,3.1,4.1
325,Real Estate,FinTech,643088,5161191,3911818,6.5,1.2,4.6,8.1,2.0
326,Travel,TravelTech,606134,5126376,1745780,6.3,9.8,1.1,3.0,1.9
327,Travel,Property,314032,1774963,1504570,8.3,1.4,7.2,1.9,7.2
328,Finance,EnergyTech,771644,0,1721123,6.4,8.5,8.8,8.5,1.9
329,Retail,FoodTech,549264,4577874,1521014,4.9,7.7,6.3,9.9,5.9
330,Real Estate,E-commerce,378707,4900071,994684,8.2,8.7,1.1,3.1,2.9
331,Finance,EdTech,280671,0,2283125,8.8,1.8,8.8,9.5,2.2
